GenBank Accessions,Genome Name,Total_length,Classification,Broader_Classifications,Clade,CAZyme_freq,Trait,YAS,Trait_Freq,log_Trait_Freq
AAQG00000000,Sphingomonas sp. SKA58,3887535,Water,Water,10_clade,23,Chaperones and Folding Catalysts,Stress (S),31,3.433987204
AAQG00000000,Sphingomonas sp. SKA58,3887535,Water,Water,10_clade,23,Prokaryotic Defense System,Stress (S),26,3.258096538
AAQG00000000,Sphingomonas sp. SKA58,3887535,Water,Water,10_clade,23,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),30,3.401197382
AFGG00000000,Sphingomonas sp. S17,4268406,Water,Water,3_clade,34,Chaperones and Folding Catalysts,Stress (S),42,3.737669618
AFGG00000000,Sphingomonas sp. S17,4268406,Water,Water,3_clade,34,Prokaryotic Defense System,Stress (S),28,3.33220451
AFGG00000000,Sphingomonas sp. S17,4268406,Water,Water,3_clade,34,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),32,3.465735903
AGFU00000000,Sphingomonas elodea ATCC 31461,4124388,Plant,Plant,6_clade,24,Chaperones and Folding Catalysts,Stress (S),31,3.433987204
AGFU00000000,Sphingomonas elodea ATCC 31461,4124388,Plant,Plant,6_clade,24,Prokaryotic Defense System,Stress (S),34,3.526360525
AGFU00000000,Sphingomonas elodea ATCC 31461,4124388,Plant,Plant,6_clade,24,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),31,3.433987204
AHHA00000000,Sphingomonas sp. PAMC 26617,4663101,Lichen,Other,5_clade,33,Chaperones and Folding Catalysts,Stress (S),32,3.465735903
AHHA00000000,Sphingomonas sp. PAMC 26617,4663101,Lichen,Other,5_clade,33,Proteasome,Stress (S),1,0
AHHA00000000,Sphingomonas sp. PAMC 26617,4663101,Lichen,Other,5_clade,33,Prokaryotic Defense System,Stress (S),26,3.258096538
AHHA00000000,Sphingomonas sp. PAMC 26617,4663101,Lichen,Other,5_clade,33,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),31,3.433987204
AHIR00000000,Sphingomonas echinoides ATCC 14820,4180007,Clinical,Clinical,5_clade,24,Chaperones and Folding Catalysts,Stress (S),31,3.433987204
AHIR00000000,Sphingomonas echinoides ATCC 14820,4180007,Clinical,Clinical,5_clade,24,Prokaryotic Defense System,Stress (S),39,3.663561646
AHIR00000000,Sphingomonas echinoides ATCC 14820,4180007,Clinical,Clinical,5_clade,24,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),33,3.496507561
AHIS00000000,Sphingomonas sp. PAMC 26605,4662119,Lichen,Other,5_clade,30,Chaperones and Folding Catalysts,Stress (S),32,3.465735903
AHIS00000000,Sphingomonas sp. PAMC 26605,4662119,Lichen,Other,5_clade,30,Proteasome,Stress (S),1,0
AHIS00000000,Sphingomonas sp. PAMC 26605,4662119,Lichen,Other,5_clade,30,Prokaryotic Defense System,Stress (S),32,3.465735903
AHIS00000000,Sphingomonas sp. PAMC 26605,4662119,Lichen,Other,5_clade,30,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),33,3.496507561
AIDW00000000,Sphingomonas sp. PAMC 26621,4769930,Lichen,Other,5_clade,35,Chaperones and Folding Catalysts,Stress (S),38,3.63758616
AIDW00000000,Sphingomonas sp. PAMC 26621,4769930,Lichen,Other,5_clade,35,Proteasome,Stress (S),1,0
AIDW00000000,Sphingomonas sp. PAMC 26621,4769930,Lichen,Other,5_clade,35,Prokaryotic Defense System,Stress (S),32,3.465735903
AIDW00000000,Sphingomonas sp. PAMC 26621,4769930,Lichen,Other,5_clade,35,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),33,3.496507561
ALBQ00000000,Sphingomonas sp. ATCC 31555,4046117,Water,Water,6_clade,33,Chaperones and Folding Catalysts,Stress (S),31,3.433987204
ALBQ00000000,Sphingomonas sp. ATCC 31555,4046117,Water,Water,6_clade,33,Prokaryotic Defense System,Stress (S),24,3.17805383
ALBQ00000000,Sphingomonas sp. ATCC 31555,4046117,Water,Water,6_clade,33,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),32,3.465735903
ALVC00000000,Sphingomonas sp. LH128,6433256,Contaminated site,Contaminated site,10_clade,53,Chaperones and Folding Catalysts,Stress (S),53,3.970291914
ALVC00000000,Sphingomonas sp. LH128,6433256,Contaminated site,Contaminated site,10_clade,53,Proteasome,Stress (S),2,0.693147181
ALVC00000000,Sphingomonas sp. LH128,6433256,Contaminated site,Contaminated site,10_clade,53,Prokaryotic Defense System,Stress (S),57,4.043051268
ALVC00000000,Sphingomonas sp. LH128,6433256,Contaminated site,Contaminated site,10_clade,53,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),35,3.555348061
AORL00000000,Sphingomonas sp. PR090111-T3T-6A,3910956,Animal,Animal,12_clade,42,Chaperones and Folding Catalysts,Stress (S),30,3.401197382
AORL00000000,Sphingomonas sp. PR090111-T3T-6A,3910956,Animal,Animal,12_clade,42,Prokaryotic Defense System,Stress (S),18,2.890371758
